meeting_id,vote_date,meeting_type,motion_count,unmatched_motion_count,vote_numbers,expected_minutes_url,reason
18068,2021-11-02,Council,4,4,"7762,7764,7765,7766",https://council.vancouver.ca/20211102/documents/regu20211102min.pdf,minutes_not_available
18075,2021-11-23,Special Council,1,1,7841,https://council.vancouver.ca/20211123/documents/spec20211123min.pdf,not_cached
18253,2021-11-25,Public Hearing,2,1,7854,https://council.vancouver.ca/20211125/documents/phea20211125min.pdf,not_cached
18078,2021-12-07,Council,41,1,7899,https://council.vancouver.ca/20211207/documents/regu20211207min.pdf,not_cached
18265,2022-01-27,Policy & Strategic Priorities,3,3,"8054,8055,8056",https://council.vancouver.ca/20220127/documents/pspc20220127min.pdf,minutes_not_available
18174,2022-02-01,Special Council,1,1,8066,https://council.vancouver.ca/20220201/documents/spec20220201min.pdf,minutes_not_available
18176,2022-02-02,Special Council,1,1,8068,https://council.vancouver.ca/20220202/documents/spec20220202min.pdf,minutes_not_available
18179,2022-02-09,City Finance & Services,11,11,"8099,8100,8101,8102,8103,8104,8105,8106,8107,8108,8110",https://council.vancouver.ca/20220209/documents/cfsc20220209min.pdf,minutes_not_available
18185,2022-03-08,Special Council,1,1,8176,https://council.vancouver.ca/20220308/documents/spec20220308min.pdf,minutes_not_available
18186,2022-03-09,Special Council,1,1,8177,https://council.vancouver.ca/20220309/documents/spec20220309min.pdf,minutes_not_available
18191,2022-04-13,Policy & Strategic Priorities,16,1,8277,https://council.vancouver.ca/20220413/documents/pspc20220413min.pdf,not_cached
18194,2022-04-20,Special Council,1,1,8291,https://council.vancouver.ca/20220420/documents/spec20220420min.pdf,minutes_not_available
18297,2022-04-21,Public Hearing,1,1,8293,https://council.vancouver.ca/20220421/documents/phea20220421min.pdf,minutes_not_available
18294,2022-04-22,Auditor General Committee,2,2,"8295,8296",https://council.vancouver.ca/20220422/documents/agc20220422min.pdf,minutes_not_available
18200,2022-05-19,Public Hearing,5,5,"8397,8398,8399,8400,8401",https://council.vancouver.ca/20220519/documents/phea20220519min.pdf,minutes_not_available
