member_id,name,role,first_vote_date,last_vote_date,recorded_votes,positions,participated,participation_rate,vote_counts
councillor-b-montague,Councillor B Montague,Councillor,2022-11-07,2026-04-21,2173,1828,1829,0.8417,"{""In Favour"": 1653, ""In Opposition"": 175, ""Abstain"": 1, ""Absent"": 329, ""Declared Conflict"": 8, ""No Vote"": 7, ""Ineligible"": 0}"
councillor-l-zhou,Councillor L Zhou,Councillor,2022-11-07,2026-04-21,2149,2090,2094,0.9744,"{""In Favour"": 1942, ""In Opposition"": 148, ""Abstain"": 4, ""Absent"": 52, ""Declared Conflict"": 1, ""No Vote"": 2, ""Ineligible"": 0}"
councillor-r-bligh,Councillor R Bligh,Councillor,2021-09-21,2026-04-21,3029,2246,2271,0.7498,"{""In Favour"": 2094, ""In Opposition"": 152, ""Abstain"": 25, ""Absent"": 750, ""Declared Conflict"": 0, ""No Vote"": 3, ""Ineligible"": 5}"
councillor-s-orr,Councillor S Orr,Councillor,2025-04-15,2026-04-21,715,671,683,0.9552,"{""In Favour"": 610, ""In Opposition"": 61, ""Abstain"": 12, ""Absent"": 31, ""Declared Conflict"": 0, ""No Vote"": 1, ""Ineligible"": 0}"
councillor-l-dominato,Councillor L Dominato,Councillor,2021-09-21,2026-04-14,3054,2710,2726,0.8926,"{""In Favour"": 2515, ""In Opposition"": 195, ""Abstain"": 16, ""Absent"": 321, ""Declared Conflict"": 3, ""No Vote"": 3, ""Ineligible"": 1}"
councillor-l-maloney,Councillor L Maloney,Councillor,2025-04-15,2026-04-14,714,696,707,0.9902,"{""In Favour"": 635, ""In Opposition"": 61, ""Abstain"": 11, ""Absent"": 6, ""Declared Conflict"": 0, ""No Vote"": 1, ""Ineligible"": 0}"
councillor-m-klassen,Councillor M Klassen,Councillor,2022-11-07,2026-04-14,2144,1997,2000,0.9328,"{""In Favour"": 1849, ""In Opposition"": 148, ""Abstain"": 3, ""Absent"": 141, ""Declared Conflict"": 2, ""No Vote"": 1, ""Ineligible"": 0}"
councillor-p-fry,Councillor P Fry,Councillor,2021-09-21,2026-04-14,3058,2740,2812,0.9196,"{""In Favour"": 2551, ""In Opposition"": 189, ""Abstain"": 72, ""Absent"": 227, ""Declared Conflict"": 12, ""No Vote"": 5, ""Ineligible"": 2}"
councillor-p-meiszner,Councillor P Meiszner,Councillor,2022-11-07,2026-04-14,2134,1909,1922,0.9007,"{""In Favour"": 1771, ""In Opposition"": 138, ""Abstain"": 13, ""Absent"": 206, ""Declared Conflict"": 0, ""No Vote"": 1, ""Ineligible"": 5}"
councillor-s-kirby-yung,Councillor S Kirby-Yung,Councillor,2021-09-21,2026-04-14,3058,2711,2722,0.8901,"{""In Favour"": 2469, ""In Opposition"": 242, ""Abstain"": 11, ""Absent"": 324, ""Declared Conflict"": 7, ""No Vote"": 5, ""Ineligible"": 0}"
mayor-k-sim,Mayor K Sim,Mayor,2022-11-07,2026-04-14,2134,1453,1456,0.6823,"{""In Favour"": 1337, ""In Opposition"": 116, ""Abstain"": 3, ""Absent"": 642, ""Declared Conflict"": 29, ""No Vote"": 2, ""Ineligible"": 5}"
councillor-a-carr,Councillor A Carr,Councillor,2021-09-21,2024-12-18,2150,2059,2091,0.9726,"{""In Favour"": 1892, ""In Opposition"": 167, ""Abstain"": 32, ""Absent"": 49, ""Declared Conflict"": 0, ""No Vote"": 10, ""Ineligible"": 0}"
councillor-c-boyle,Councillor C Boyle,Councillor,2021-09-21,2024-12-11,2192,1783,1799,0.8207,"{""In Favour"": 1624, ""In Opposition"": 159, ""Abstain"": 16, ""Absent"": 386, ""Declared Conflict"": 5, ""No Vote"": 2, ""Ineligible"": 0}"
councillor-c-hardwick,Councillor C Hardwick,Councillor,2021-09-21,2022-10-25,894,746,770,0.8613,"{""In Favour"": 563, ""In Opposition"": 183, ""Abstain"": 24, ""Absent"": 122, ""Declared Conflict"": 0, ""No Vote"": 1, ""Ineligible"": 1}"
councillor-j-swanson,Councillor J Swanson,Councillor,2021-09-21,2022-10-25,890,856,865,0.9719,"{""In Favour"": 710, ""In Opposition"": 146, ""Abstain"": 9, ""Absent"": 24, ""Declared Conflict"": 0, ""No Vote"": 1, ""Ineligible"": 0}"
councillor-m-de-genova,Councillor M De Genova,Councillor,2021-09-21,2022-10-25,890,711,719,0.8079,"{""In Favour"": 579, ""In Opposition"": 132, ""Abstain"": 8, ""Absent"": 149, ""Declared Conflict"": 21, ""No Vote"": 1, ""Ineligible"": 0}"
councillor-m-wiebe,Councillor M Wiebe,Councillor,2021-09-21,2022-10-25,894,819,823,0.9206,"{""In Favour"": 760, ""In Opposition"": 59, ""Abstain"": 4, ""Absent"": 62, ""Declared Conflict"": 8, ""No Vote"": 1, ""Ineligible"": 0}"
mayor-k-stewart,Mayor K Stewart,Mayor,2021-09-21,2022-10-25,890,675,675,0.7584,"{""In Favour"": 615, ""In Opposition"": 60, ""Abstain"": 0, ""Absent"": 213, ""Declared Conflict"": 0, ""No Vote"": 2, ""Ineligible"": 0}"
