motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18838-11541,18838,Special Council,2026-04-21,11541,1. Business Licence Application No. AL0188353 (Short Term Rental) - 1801-1788 Columbia Street,2026-04-21T10:21:52-07:00,Carried Unanimously,4,"{""In Favour"": 3, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18806-11538,18806,Public Hearing,2026-04-14,11538,CD-1 (363) Text Amendment: 1055-1085 Canada Place and 1001-1045 West Waterfront Road,2026-04-14T21:04:06-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11536,18788,Council,2026-04-14,11536,RR3. CD-1 Rezoning: 888-896 Cambie Street and 111-191 Smithe Street,2026-04-14T12:24:10-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11534,18788,Council,2026-04-14,11534,RR1. Fast-Tracking Rental Housing and Small Hotels - New Mixed-Use Commercial District,2026-04-14T12:23:24-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11533,18788,Council,2026-04-14,11533,R16. 2026 Financing Growth Update - Required Consultation for Amenity Cost Charge By-law and Bill 16 Density Bonus and Inclusionary Zoning Updates,2026-04-14T12:22:43-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11531,18788,Council,2026-04-14,11531,R15. Rezoning: 1305-1325 West 13th Avenue,2026-04-14T12:22:02-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11530,18788,Council,2026-04-14,11530,R14. CD-1 Rezoning: 310 East 14th Avenue,2026-04-14T12:21:39-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11529,18788,Council,2026-04-14,11529,R12. CD-1 Rezoning: 4088 Granville Street,2026-04-14T12:20:58-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11528,18788,Council,2026-04-14,11528,R9. Funding Application to Local Government Development Approvals Program,2026-04-14T12:19:34-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11527,18788,Council,2026-04-14,11527,R7. Vancouver Heritage Foundation Board - Annual Report 2025,2026-04-14T12:18:47-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11526,18788,Council,2026-04-14,11526,R5. 2025 Property Tax Exemptions,2026-04-14T12:18:21-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11525,18788,Council,2026-04-14,11525,R4b. 2026 Property Taxation: Distribution of Property Tax Levy Report,2026-04-14T12:17:16-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11524,18788,Council,2026-04-14,11524,R4a. Budget Resolution,2026-04-14T12:14:30-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11523,18788,Council,2026-04-14,11523,R3. Vancouver Community Sport Event Grants - Spring 2026 Intake,2026-04-14T12:14:05-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11522,18788,Council,2026-04-14,11522,RR2. CD-1 Rezoning: 888 West 8th Avenue,2026-04-14T12:02:17-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11521,18788,Council,2026-04-14,11521,R13. CD-1 Rezoning: 3803-3823 West 10th Avenue and 2553 Highbury Street,2026-04-14T11:58:44-07:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 1, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11520,18788,Council,2026-04-14,11520,R11. CD-1 (839) Text Amendment: 5590 Victoria Drive and 2005 East 40th Avenue,2026-04-14T11:57:03-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11519,18788,Council,2026-04-14,11519,R10. Miscellaneous Amendments Concerning Various Housing Rezoning Conditions,2026-04-14T11:47:43-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 1, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11518,18788,Council,2026-04-14,11518,R8. Sites for 2026-2029 Alcohol Consumption in Public Plazas Program,2026-04-14T11:36:48-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11517,18788,Council,2026-04-14,11517,R6. Coastal Flood Management Policy,2026-04-14T11:21:42-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11516,18788,Council,2026-04-14,11516,R6. Coastal Flood Management Policy - Amendment,2026-04-14T11:20:13-07:00,Lost,11,"{""In Favour"": 3, ""In Opposition"": 6, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11515,18788,Council,2026-04-14,11515,"R2. 2026 Cultural Grants (Balance of Operating, Cultural Spaces)",2026-04-14T11:01:19-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11514,18788,Council,2026-04-14,11514,"R2. 2026 Cultural Grants (Balance of Operating, Cultural Spaces) - Amendment",2026-04-14T11:00:24-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11513,18788,Council,2026-04-14,11513,R1. 2025 Homeless Count - Vancouver,2026-04-14T10:35:11-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11512,18788,Council,2026-04-14,11512,R1. 2025 Homeless Count - Vancouver - Amendment,2026-04-14T10:33:08-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18890-11476,18890,Public Hearing,2026-03-12,11476,5. CD-1 Rezoning: 2028-2038 Barclay Street,2026-03-12T13:59:40-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18893-11475,18893,Public Hearing,2026-03-11,11475,1. City of Vancouver Official Development Plan - Final motion as amended,2026-03-11T21:43:58-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 1}"
18893-11474,18893,Public Hearing,2026-03-11,11474,1. City of Vancouver Official Development Plan - Amendment,2026-03-11T21:16:03-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 1}"
18826-11473,18826,City Finance & Services,2026-03-11,11473,1. A By-law to amend the Street Vending By-law No. 10868 Regarding the 2026 Granville,2026-03-11T12:20:01-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
