vote_detail_id,motion_id,member_id,vote
70358,18053-7599,councillor-a-carr,In Favour
70364,18053-7599,councillor-c-boyle,In Opposition
70362,18053-7599,councillor-c-hardwick,In Favour
70361,18053-7599,councillor-j-swanson,In Opposition
70365,18053-7599,councillor-l-dominato,In Favour
70359,18053-7599,councillor-m-de-genova,In Favour
70363,18053-7599,councillor-m-wiebe,In Opposition
70360,18053-7599,councillor-p-fry,In Opposition
70366,18053-7599,councillor-r-bligh,Absent
70367,18053-7599,councillor-s-kirby-yung,In Favour
70357,18053-7599,mayor-k-stewart,In Opposition
70369,18053-7600,councillor-a-carr,In Favour
70375,18053-7600,councillor-c-boyle,In Favour
70373,18053-7600,councillor-c-hardwick,In Favour
70372,18053-7600,councillor-j-swanson,In Favour
70376,18053-7600,councillor-l-dominato,In Favour
70370,18053-7600,councillor-m-de-genova,In Favour
70374,18053-7600,councillor-m-wiebe,In Favour
70371,18053-7600,councillor-p-fry,In Favour
70377,18053-7600,councillor-r-bligh,Absent
70378,18053-7600,councillor-s-kirby-yung,In Favour
70368,18053-7600,mayor-k-stewart,In Favour
70380,18053-7601,councillor-a-carr,In Favour
70386,18053-7601,councillor-c-boyle,In Favour
70384,18053-7601,councillor-c-hardwick,In Favour
70383,18053-7601,councillor-j-swanson,In Favour
70387,18053-7601,councillor-l-dominato,In Favour
70381,18053-7601,councillor-m-de-genova,In Favour
70385,18053-7601,councillor-m-wiebe,In Favour
70382,18053-7601,councillor-p-fry,In Favour
70388,18053-7601,councillor-r-bligh,Absent
70389,18053-7601,councillor-s-kirby-yung,In Favour
70379,18053-7601,mayor-k-stewart,In Favour
70402,18053-7603,councillor-a-carr,In Favour
70408,18053-7603,councillor-c-boyle,In Favour
70406,18053-7603,councillor-c-hardwick,In Favour
70405,18053-7603,councillor-j-swanson,In Favour
70409,18053-7603,councillor-l-dominato,In Favour
70403,18053-7603,councillor-m-de-genova,In Favour
70407,18053-7603,councillor-m-wiebe,In Favour
70404,18053-7603,councillor-p-fry,In Favour
70410,18053-7603,councillor-r-bligh,Absent
